model_id,display_name,efficiency_track,parameter_count,serialized_size_bytes,training_runtime_seconds,mean_epoch_runtime_seconds,best_epoch,cpu_batch_one_median_latency_ms,cpu_batch_one_p95_latency_ms,cpu_batch_32_median_latency_ms,cpu_batch_32_p95_latency_ms,cpu_throughput_per_second,peak_device_memory_bytes,gpu_batch_one_median_latency_ms,gpu_batch_32_median_latency_ms,validation_rmse,source_metrics,gpu_batch_one_p95_latency_ms,gpu_batch_32_p95_latency_ms,gpu_throughput_per_second,architecture,schedule_id,patch_token_count,attention_layers,attention_heads,projection_dim,attention_complexity_scale,patch_length,patch_stride,patch_coverage_cycles,cycle_attention_complexity_equivalent,attention_scale_ratio,checkpoint_size,training_runtime
sequence_mlp,Sequence MLP RUL Baseline,deep_baseline,23425,97009,3.147769299976062,0.5243039333242147,6.0,0.2723500074353069,0.3047249920200556,0.4128000000491738,0.4505849879933521,75872.5349493872,22674944.0,0.5967500037513673,0.6199000345077366,47.43132260568755,reports/deep_rul/model_efficiency.csv,,,,,,,,,,,,,,,,,
cnn1d,Temporal CNN RUL Baseline,deep_baseline,21249,88369,3.789213899988681,0.6313911166701777,5.0,0.4117499920539558,0.4594550031470135,1.0034500155597923,1.081960034207441,31470.35364114624,49536512.0,0.8718500030227005,0.8686000073794276,50.56733970887646,reports/deep_rul/model_efficiency.csv,,,,,,,,,,,,,,,,,
lstm,LSTM RUL Baseline,deep_baseline,40481,165105,3.964864399982616,0.6606926833240626,5.0,0.5158499698154628,0.5625350313493982,1.0932000004686415,1.1191050143679604,29299.602209037133,154101760.0,0.7209499890450388,1.2265000259503722,44.27446203895945,reports/deep_rul/model_efficiency.csv,,,,,,,,,,,,,,,,,
gru,GRU RUL Baseline,deep_baseline,32001,131185,4.0593790000421,0.6764574000165643,6.0,2.1179000032134354,2.1686949796276167,4.128850006964058,4.2099349811906,7737.000026481442,146006528.0,0.6782000127714127,1.2615000014193356,44.33179637216485,reports/deep_rul/model_efficiency.csv,,,,,,,,,,,,,,,,,
tcn,Temporal Convolutional RUL Baseline,deep_baseline,79937,327549,5.632976699969731,0.9383890333313806,6.0,1.9171499880030751,1.9433300069067627,2.837899985024705,2.898620007908903,11259.85456659382,795836416.0,1.883750024717301,2.0450999727472663,47.58315413568225,reports/deep_rul/model_efficiency.csv,,,,,,,,,,,,,,,,,
cnn_lstm,CNN-LSTM RUL Baseline,deep_baseline,52633,214373,4.018172900017817,0.6695699999885013,6.0,0.6833499646745622,0.7170999888330698,1.810850022593513,1.893849967746064,17546.841860654007,861683200.0,0.9816499950829892,1.775349985109642,46.44288475635831,reports/deep_rul/model_efficiency.csv,,,,,,,,,,,,,,,,,
lstm_phase5_schedule_a,LSTM Candidate - Schedule A,extended_patch_transformer,40481,165105,33.03465809999034,2.064609068751452,11.0,0.5997499683871865,0.6567099946551024,1.2389500043354928,1.2953500146977603,25640.20388314834,153294336.0,0.7597000221721828,0.7113000028766692,42.56794758705633,reports/deep_rul_extended/model_efficiency.csv,0.860514960368164,0.7486799790058286,46912.91085359483,lstm,schedule_a,,,,,,,,,,,,
lstm_phase5_schedule_b,LSTM Candidate - Schedule B,extended_patch_transformer,40481,165105,31.017947199987248,1.938557056251739,13.0,0.4713000089395791,0.6155999726615846,1.2778000091202557,1.4008749974891543,24759.75316730529,153620480.0,0.5658500012941658,0.5512999778147787,42.617628086971145,reports/deep_rul_extended/model_efficiency.csv,0.766184978419915,0.7163149828556925,56005.25080607742,lstm,schedule_b,,,,,,,,,,,,
tcn_extended_schedule_a,Temporal CNN Candidate - Schedule A,extended_patch_transformer,104641,428393,47.49734770000214,2.9684311374912795,16.0,3.0245000089053065,3.533994976896792,3.4688999876379967,4.423765023238957,8793.781692767974,796555776.0,2.3780500050634146,2.469600003678352,42.48881333695497,reports/deep_rul_extended/model_efficiency.csv,2.6772550045279786,5.995654972502963,10064.159015084346,tcn,schedule_a,,,,,,,,,,,,
tcn_extended_schedule_b,Temporal CNN Candidate - Schedule B,extended_patch_transformer,132121,538665,54.51985899999272,3.407384837493737,10.0,2.211550017818809,3.1965200061677024,4.54549997812137,4.761555019649678,6955.440626381672,1298041856.0,2.6145500014536083,2.474450011504814,43.29861922679281,reports/deep_rul_extended/model_efficiency.csv,2.69528001663275,2.7605000184848905,13064.210587020689,tcn,schedule_b,,,,,,,,,,,,
temporal_transformer_sinusoidal_mean_a,Temporal Transformer - Sinusoidal Mean Pooling,extended_patch_transformer,72769,300097,67.9300725000212,4.245511949982756,14.0,1.2465000036172569,1.3290849921759218,3.840200020931661,4.013955025584437,8298.91660654532,130191872.0,2.513900020858273,2.4838499957695603,41.717644646124526,reports/deep_rul_extended/model_efficiency.csv,2.6071549975313246,2.605730024515651,12796.851938534504,temporal_transformer,schedule_a,50.0,2.0,4.0,64.0,20000.0,,,,,,,
temporal_transformer_learned_attention_b,Temporal Transformer - Learned Attention Pooling,extended_patch_transformer,96706,397352,77.19957070000237,4.824830137498793,16.0,1.9800000300165264,2.4313700210768725,5.542550003156066,6.3825899676885465,5568.398640966741,150245376.0,3.2213499944191426,2.709399996092543,41.882558819787086,reports/deep_rul_extended/model_efficiency.csv,4.062929961946793,3.091964960913175,11434.28853679064,temporal_transformer,schedule_b,50.0,2.0,4.0,64.0,20000.0,,,,,,,
patch_transformer_5x5_attention_a,Patch Transformer — 5×5 Patches with Attention Pooling,extended_patch_transformer,77058,318445,65.26825399999507,4.079144731262204,14.0,2.0819500205107038,2.2424250113544986,2.9962999979034066,3.058854962000624,10635.221879557288,58593792.0,5.350949999410659,4.511100007221103,41.35415222638353,reports/deep_rul_extended/model_efficiency.csv,5.467980011599138,4.7962999902665615,7032.897475156892,patch_transformer,schedule_a,10.0,,,,800.0,5.0,5.0,50.0,20000.0,0.04,,
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,extended_patch_transformer,89985,369340,60.78478689998156,3.7989523375035783,14.0,2.0941999973729253,2.2383649833500385,3.0036999960429966,3.0958750197896734,10636.264683024314,59729408.0,4.270850011380389,5.497849982930347,40.475054112889865,reports/deep_rul_extended/model_efficiency.csv,4.902210002182983,7.115114980842919,5788.193717898844,patch_transformer,schedule_b,10.0,,,,800.0,10.0,5.0,50.0,20000.0,0.04,,
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,extended_patch_transformer,89985,369340,40.45449269999517,5.056773112504743,8.0,2.1420999837573618,2.7952449687290937,3.105499956291169,3.2564000342972577,10312.301631514638,58366976.0,5.475449986988679,4.381499980809167,39.991821290624245,reports/deep_rul_extended/model_efficiency.csv,6.713149975985289,4.960510044475086,7277.813468240332,patch_transformer,schedule_b,,,,,,,,,,,,
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,physics_guided,89985,369340,,,,0.952600094024092,1.0108399903401732,1.5903000021353364,1.9016800273675472,19529.462060040158,,2.7950499788858,2.813450002577156,,reports/physics_guided_rul/model_efficiency.csv,3.4053849813062698,3.716250060824677,11098.740624088496,,,,,,,,,,,,,376106.0,32.454260999918915
